body,date,sentiment,sentiment_score
Great fragrance. The aroma is fantastic . It is very masculine.,"Mar 31, 2025",positive,1.0
Is milk good it's a good credit and I like it thank you,"Sep 02, 2024",positive,1.0
Last for ever an smell very good,"Nov 13, 2023",positive,1.0
"It’s better than expected, really good","Aug 09, 2023",positive,1.0
Awesome aroma,"May 17, 2023",positive,1.0
Was a gift,"Jun 06, 2024",positive,1.0
"Excelente aroma en sus notas, precios y servicio muy buenos","Jun 04, 2024",neutral,0.0
excellent item,"May 20, 2024",positive,1.0
